raw_id,size,max,sat,scale,exp
284,7x7x3x64,0.17941876 0.044500463 0 0.048556227 0 0.1136751 0.11658362 0 0.19843829 5.197836e-10 0.09312163 0.07622302 0.036474697 1.9559547e-08 0.021891752 0.19511242 0.03375652 0.013631076 0.07907592 0.021979429 0.05766044 0.010790876 0.032027833 0.19544837 0.39387545 0.03130431 0.02171864 0.033983506 0.07778122 0.10759951 0.13582975 0.06047244 0.035934765 0.08663322 0.048700433 0.036285497 0 0.037774436 0 0.36981946 0.28552818 0.14981999 0.14510995 0.079413325 0.10284542 0.037830915 0.016752034 0.21811299 0 0.15919185 0.30834106 0.1392751 0.06553612 0.26965028 0.011114773 0.20308617 0.053743225 0.02430428 0.061993048 0.15965736 0.12977785 0.009402235 0.035873894 0.12594284,0.17939685 0.04449503 0 0.048550304 0 0.11366123 0.1165694 0 0.19841407 5.197202e-10 0.09311026 0.076213725 0.036470246 1.955716e-08 0.02188908 0.19508861 0.0337524 0.013629412 0.07906626 0.021976747 0.057653405 0.010789559 0.032023925 0.19542453 0.39382738 0.031300493 0.02171599 0.033979356 0.07777173 0.10758638 0.13581316 0.06046506 0.03593038 0.08662265 0.048694488 0.03628107 0 0.037769824 0 0.3697743 0.28549334 0.1498017 0.14509223 0.07940363 0.102832876 0.037826296 0.016749991 0.21808636 0 0.15917242 0.30830345 0.13925812 0.06552812 0.26961738 0.011113416 0.20306137 0.053736668 0.024301313 0.06198548 0.15963788 0.12976201 0.009401088 0.035869516 0.12592746,,
288,7x7x3x64,0.17941876 0.044500463 0 0.048556227 0 0.1136751 0.11658362 0 0.19843829 5.197836e-10 0.09312163 0.07622302 0.036474697 1.9559547e-08 0.021891752 0.19511242 0.03375652 0.013631076 0.07907592 0.021979429 0.05766044 0.010790876 0.032027833 0.19544837 0.39387545 0.03130431 0.02171864 0.033983506 0.07778122 0.10759951 0.13582975 0.06047244 0.035934765 0.08663322 0.048700433 0.036285497 0 0.037774436 0 0.36981946 0.28552818 0.14981999 0.14510995 0.079413325 0.10284542 0.037830915 0.016752034 0.21811299 0 0.15919185 0.30834106 0.1392751 0.06553612 0.26965028 0.011114773 0.20308617 0.053743225 0.02430428 0.061993048 0.15965736 0.12977785 0.009402235 0.035873894 0.12594284,0.17939685 0.04449503 0 0.048550304 0 0.11366123 0.1165694 0 0.19841407 5.197202e-10 0.09311026 0.076213725 0.036470246 1.955716e-08 0.02188908 0.19508861 0.0337524 0.013629412 0.07906626 0.021976747 0.057653405 0.010789559 0.032023925 0.19542453 0.39382738 0.031300493 0.02171599 0.033979356 0.07777173 0.10758638 0.13581316 0.06046506 0.03593038 0.08662265 0.048694488 0.03628107 0 0.037769824 0 0.3697743 0.28549334 0.1498017 0.14509223 0.07940363 0.102832876 0.037826296 0.016749991 0.21808636 0 0.15917242 0.30830345 0.13925812 0.06552812 0.26961738 0.011113416 0.20306137 0.053736668 0.024301313 0.06198548 0.15963788 0.12976201 0.009401088 0.035869516 0.12592746,,
306,3x3x64x64,0.37450415 0.11910731 0.2715729 0.20916116 0.18325216 0.121072456 0.27902475 0.051017437 0.17521541 0.102409974 0.099438414 0.18015195 0.24005003 0.075785965 0.12476005 0.19948037 0.23535575 0.0958919 0.22732133 0.16570626 0.19323738 0.19563758 0.2555065 0.15634343 0.17065676 0.15431438 0.06240527 0.17651193 0.2587372 0.15011825 0.33263966 0.2863033 0.21091548 0.22951871 0.30489415 0.19861153 0.15604654 0.21912538 0.22184528 0.2800366 0.23773544 0.19512637 0.14165254 0.13435563 0.0639136 0.20890394 0.22827047 0.1546484 0.20058133 0.15881237 0.101297215 0.14939584 0.10598239 0.29075435 0.27730063 0.2970121 0.09927035 0.12150299 0.22460994 0.13828938 0.18507145 0.16076143 0.09381127 0.24569012,0.37445846 0.11909278 0.27153975 0.20913564 0.18322979 0.12105768 0.27899072 0.05101121 0.17519403 0.10239747 0.09942628 0.18012996 0.24002074 0.07577671 0.124744825 0.19945604 0.23532704 0.0958802 0.22729358 0.16568604 0.1932138 0.1956137 0.25547528 0.15632434 0.17063594 0.15429555 0.06239765 0.1764904 0.25870565 0.15009992 0.33259907 0.28626835 0.21088973 0.2294907 0.30485696 0.1985873 0.1560275 0.21909864 0.22181821 0.28000244 0.23770642 0.19510256 0.14163525 0.13433923 0.0639058 0.20887844 0.22824262 0.15462953 0.20055684 0.158793 0.101284854 0.14937761 0.10596946 0.29071888 0.2772668 0.29697582 0.09925824 0.12148816 0.22458254 0.13827251 0.18504888 0.16074182 0.09379983 0.24566014,,
310,3x3x64x64,0.37450415 0.11910731 0.2715729 0.20916116 0.18325216 0.121072456 0.27902475 0.051017437 0.17521541 0.102409974 0.099438414 0.18015195 0.24005003 0.075785965 0.12476005 0.19948037 0.23535575 0.0958919 0.22732133 0.16570626 0.19323738 0.19563758 0.2555065 0.15634343 0.17065676 0.15431438 0.06240527 0.17651193 0.2587372 0.15011825 0.33263966 0.2863033 0.21091548 0.22951871 0.30489415 0.19861153 0.15604654 0.21912538 0.22184528 0.2800366 0.23773544 0.19512637 0.14165254 0.13435563 0.0639136 0.20890394 0.22827047 0.1546484 0.20058133 0.15881237 0.101297215 0.14939584 0.10598239 0.29075435 0.27730063 0.2970121 0.09927035 0.12150299 0.22460994 0.13828938 0.18507145 0.16076143 0.09381127 0.24569012,0.37445846 0.11909278 0.27153975 0.20913564 0.18322979 0.12105768 0.27899072 0.05101121 0.17519403 0.10239747 0.09942628 0.18012996 0.24002074 0.07577671 0.124744825 0.19945604 0.23532704 0.0958802 0.22729358 0.16568604 0.1932138 0.1956137 0.25547528 0.15632434 0.17063594 0.15429555 0.06239765 0.1764904 0.25870565 0.15009992 0.33259907 0.28626835 0.21088973 0.2294907 0.30485696 0.1985873 0.1560275 0.21909864 0.22181821 0.28000244 0.23770642 0.19510256 0.14163525 0.13433923 0.0639058 0.20887844 0.22824262 0.15462953 0.20055684 0.158793 0.101284854 0.14937761 0.10596946 0.29071888 0.2772668 0.29697582 0.09925824 0.12148816 0.22458254 0.13827251 0.18504888 0.16074182 0.09379983 0.24566014,,
314,3x3x64x64,0.37450415 0.11910731 0.2715729 0.20916116 0.18325216 0.121072456 0.27902475 0.051017437 0.17521541 0.102409974 0.099438414 0.18015195 0.24005003 0.075785965 0.12476005 0.19948037 0.23535575 0.0958919 0.22732133 0.16570626 0.19323738 0.19563758 0.2555065 0.15634343 0.17065676 0.15431438 0.06240527 0.17651193 0.2587372 0.15011825 0.33263966 0.2863033 0.21091548 0.22951871 0.30489415 0.19861153 0.15604654 0.21912538 0.22184528 0.2800366 0.23773544 0.19512637 0.14165254 0.13435563 0.0639136 0.20890394 0.22827047 0.1546484 0.20058133 0.15881237 0.101297215 0.14939584 0.10598239 0.29075435 0.27730063 0.2970121 0.09927035 0.12150299 0.22460994 0.13828938 0.18507145 0.16076143 0.09381127 0.24569012,0.37445846 0.11909278 0.27153975 0.20913564 0.18322979 0.12105768 0.27899072 0.05101121 0.17519403 0.10239747 0.09942628 0.18012996 0.24002074 0.07577671 0.124744825 0.19945604 0.23532704 0.0958802 0.22729358 0.16568604 0.1932138 0.1956137 0.25547528 0.15632434 0.17063594 0.15429555 0.06239765 0.1764904 0.25870565 0.15009992 0.33259907 0.28626835 0.21088973 0.2294907 0.30485696 0.1985873 0.1560275 0.21909864 0.22181821 0.28000244 0.23770642 0.19510256 0.14163525 0.13433923 0.0639058 0.20887844 0.22824262 0.15462953 0.20055684 0.158793 0.101284854 0.14937761 0.10596946 0.29071888 0.2772668 0.29697582 0.09925824 0.12148816 0.22458254 0.13827251 0.18504888 0.16074182 0.09379983 0.24566014,,
318,3x3x64x64,0.37450415 0.11910731 0.2715729 0.20916116 0.18325216 0.121072456 0.27902475 0.051017437 0.17521541 0.102409974 0.099438414 0.18015195 0.24005003 0.075785965 0.12476005 0.19948037 0.23535575 0.0958919 0.22732133 0.16570626 0.19323738 0.19563758 0.2555065 0.15634343 0.17065676 0.15431438 0.06240527 0.17651193 0.2587372 0.15011825 0.33263966 0.2863033 0.21091548 0.22951871 0.30489415 0.19861153 0.15604654 0.21912538 0.22184528 0.2800366 0.23773544 0.19512637 0.14165254 0.13435563 0.0639136 0.20890394 0.22827047 0.1546484 0.20058133 0.15881237 0.101297215 0.14939584 0.10598239 0.29075435 0.27730063 0.2970121 0.09927035 0.12150299 0.22460994 0.13828938 0.18507145 0.16076143 0.09381127 0.24569012,0.37445846 0.11909278 0.27153975 0.20913564 0.18322979 0.12105768 0.27899072 0.05101121 0.17519403 0.10239747 0.09942628 0.18012996 0.24002074 0.07577671 0.124744825 0.19945604 0.23532704 0.0958802 0.22729358 0.16568604 0.1932138 0.1956137 0.25547528 0.15632434 0.17063594 0.15429555 0.06239765 0.1764904 0.25870565 0.15009992 0.33259907 0.28626835 0.21088973 0.2294907 0.30485696 0.1985873 0.1560275 0.21909864 0.22181821 0.28000244 0.23770642 0.19510256 0.14163525 0.13433923 0.0639058 0.20887844 0.22824262 0.15462953 0.20055684 0.158793 0.101284854 0.14937761 0.10596946 0.29071888 0.2772668 0.29697582 0.09925824 0.12148816 0.22458254 0.13827251 0.18504888 0.16074182 0.09379983 0.24566014,,
322,3x3x64x64,0.37450415 0.11910731 0.2715729 0.20916116 0.18325216 0.121072456 0.27902475 0.051017437 0.17521541 0.102409974 0.099438414 0.18015195 0.24005003 0.075785965 0.12476005 0.19948037 0.23535575 0.0958919 0.22732133 0.16570626 0.19323738 0.19563758 0.2555065 0.15634343 0.17065676 0.15431438 0.06240527 0.17651193 0.2587372 0.15011825 0.33263966 0.2863033 0.21091548 0.22951871 0.30489415 0.19861153 0.15604654 0.21912538 0.22184528 0.2800366 0.23773544 0.19512637 0.14165254 0.13435563 0.0639136 0.20890394 0.22827047 0.1546484 0.20058133 0.15881237 0.101297215 0.14939584 0.10598239 0.29075435 0.27730063 0.2970121 0.09927035 0.12150299 0.22460994 0.13828938 0.18507145 0.16076143 0.09381127 0.24569012,0.37445846 0.11909278 0.27153975 0.20913564 0.18322979 0.12105768 0.27899072 0.05101121 0.17519403 0.10239747 0.09942628 0.18012996 0.24002074 0.07577671 0.124744825 0.19945604 0.23532704 0.0958802 0.22729358 0.16568604 0.1932138 0.1956137 0.25547528 0.15632434 0.17063594 0.15429555 0.06239765 0.1764904 0.25870565 0.15009992 0.33259907 0.28626835 0.21088973 0.2294907 0.30485696 0.1985873 0.1560275 0.21909864 0.22181821 0.28000244 0.23770642 0.19510256 0.14163525 0.13433923 0.0639058 0.20887844 0.22824262 0.15462953 0.20055684 0.158793 0.101284854 0.14937761 0.10596946 0.29071888 0.2772668 0.29697582 0.09925824 0.12148816 0.22458254 0.13827251 0.18504888 0.16074182 0.09379983 0.24566014,,
326,3x3x64x64,0.37450415 0.11910731 0.2715729 0.20916116 0.18325216 0.121072456 0.27902475 0.051017437 0.17521541 0.102409974 0.099438414 0.18015195 0.24005003 0.075785965 0.12476005 0.19948037 0.23535575 0.0958919 0.22732133 0.16570626 0.19323738 0.19563758 0.2555065 0.15634343 0.17065676 0.15431438 0.06240527 0.17651193 0.2587372 0.15011825 0.33263966 0.2863033 0.21091548 0.22951871 0.30489415 0.19861153 0.15604654 0.21912538 0.22184528 0.2800366 0.23773544 0.19512637 0.14165254 0.13435563 0.0639136 0.20890394 0.22827047 0.1546484 0.20058133 0.15881237 0.101297215 0.14939584 0.10598239 0.29075435 0.27730063 0.2970121 0.09927035 0.12150299 0.22460994 0.13828938 0.18507145 0.16076143 0.09381127 0.24569012,0.37445846 0.11909278 0.27153975 0.20913564 0.18322979 0.12105768 0.27899072 0.05101121 0.17519403 0.10239747 0.09942628 0.18012996 0.24002074 0.07577671 0.124744825 0.19945604 0.23532704 0.0958802 0.22729358 0.16568604 0.1932138 0.1956137 0.25547528 0.15632434 0.17063594 0.15429555 0.06239765 0.1764904 0.25870565 0.15009992 0.33259907 0.28626835 0.21088973 0.2294907 0.30485696 0.1985873 0.1560275 0.21909864 0.22181821 0.28000244 0.23770642 0.19510256 0.14163525 0.13433923 0.0639058 0.20887844 0.22824262 0.15462953 0.20055684 0.158793 0.101284854 0.14937761 0.10596946 0.29071888 0.2772668 0.29697582 0.09925824 0.12148816 0.22458254 0.13827251 0.18504888 0.16074182 0.09379983 0.24566014,,
344,3x3x64x64,0.24522248 0.15553294 0.1383362 0.3890562 0.07970856 0.38728872 0.112488426 0.2947211 0.444513 0.3752888 0.10695986 0.5358689 0.5674289 0.438309 0.2811306 0.24600172 0.17702219 0.45165634 0.34184545 0.18946697 0.45118994 0.22622317 0.24056515 0.26026198 0.12965703 0.15595491 0.20149033 0.2192497 0.34443662 0.22981389 0.30292243 0.30963245 0.20549619 0.32503226 0.14723675 0.113140546 0.3223718 0.48381898 0.2373055 0.22635536 0.32233644 0.10053313 0.2675846 0.3492821 0.20669386 0.11241386 0.44304016 0.22596727 0.31300485 0.47877514 0.4436872 0.21641217 0.114512466 0.18721959 0.43017277 0.17788424 0.3053878 0.2731459 0.32794863 0.3829987 0.23679052 0.080408484 0.430934 0.77078116,0.24519254 0.15551396 0.13831931 0.38900873 0.07969884 0.38724145 0.1124747 0.29468513 0.44445872 0.375243 0.1069468 0.5358035 0.5673596 0.43825552 0.2810963 0.2459717 0.17700058 0.45160124 0.34180373 0.18944386 0.4511349 0.22619556 0.2405358 0.2602302 0.1296412 0.15593587 0.20146574 0.21922295 0.34439456 0.22978584 0.30288544 0.30959466 0.20547111 0.3249926 0.14721878 0.11312674 0.32233247 0.48375994 0.23727655 0.22632773 0.3222971 0.100520864 0.26755193 0.34923944 0.20666863 0.11240014 0.4429861 0.2259397 0.31296664 0.47871673 0.44363305 0.21638575 0.114498496 0.18719673 0.4301203 0.17786252 0.30535054 0.2731126 0.3279086 0.38295195 0.23676161 0.08039867 0.43088144 0.7706871,,
348,3x3x64x64,0.24522248 0.15553294 0.1383362 0.3890562 0.07970856 0.38728872 0.112488426 0.2947211 0.444513 0.3752888 0.10695986 0.5358689 0.5674289 0.438309 0.2811306 0.24600172 0.17702219 0.45165634 0.34184545 0.18946697 0.45118994 0.22622317 0.24056515 0.26026198 0.12965703 0.15595491 0.20149033 0.2192497 0.34443662 0.22981389 0.30292243 0.30963245 0.20549619 0.32503226 0.14723675 0.113140546 0.3223718 0.48381898 0.2373055 0.22635536 0.32233644 0.10053313 0.2675846 0.3492821 0.20669386 0.11241386 0.44304016 0.22596727 0.31300485 0.47877514 0.4436872 0.21641217 0.114512466 0.18721959 0.43017277 0.17788424 0.3053878 0.2731459 0.32794863 0.3829987 0.23679052 0.080408484 0.430934 0.77078116,0.24519254 0.15551396 0.13831931 0.38900873 0.07969884 0.38724145 0.1124747 0.29468513 0.44445872 0.375243 0.1069468 0.5358035 0.5673596 0.43825552 0.2810963 0.2459717 0.17700058 0.45160124 0.34180373 0.18944386 0.4511349 0.22619556 0.2405358 0.2602302 0.1296412 0.15593587 0.20146574 0.21922295 0.34439456 0.22978584 0.30288544 0.30959466 0.20547111 0.3249926 0.14721878 0.11312674 0.32233247 0.48375994 0.23727655 0.22632773 0.3222971 0.100520864 0.26755193 0.34923944 0.20666863 0.11240014 0.4429861 0.2259397 0.31296664 0.47871673 0.44363305 0.21638575 0.114498496 0.18719673 0.4301203 0.17786252 0.30535054 0.2731126 0.3279086 0.38295195 0.23676161 0.08039867 0.43088144 0.7706871,,
